Date,Week,Screen_time,Steps
14/01/2024,08/01/2024,14:01:00,43
15/01/2024,15/01/2024,6:55:00,108
16/01/2024,15/01/2024,6:36:00,"2,345"
17/01/2024,15/01/2024,4:58:00,207
18/01/2024,15/01/2024,9:14:00,"4,030"
19/01/2024,15/01/2024,6:48:00,679
20/01/2024,15/01/2024,2:07:00,"11,320"
21/01/2024,15/01/2024,13:17:00,78
22/01/2024,22/01/2024,2:38:00,"5,583"
23/01/2024,22/01/2024,10:18:00,"5,111"
24/01/2024,22/01/2024,12:32:00,"1,998"
25/01/2024,22/01/2024,6:24:00,"6,368"
26/01/2024,22/01/2024,5:56:00,"1,858"
27/01/2024,22/01/2024,10:22:00,808
28/01/2024,22/01/2024,8:17:00,164
29/01/2024,29/01/2024,8:48:00,"8,381"
30/01/2024,29/01/2024,6:31:00,"4,950"
31/01/2024,29/01/2024,11:46:00,390
01/02/2024,29/01/2024,7:50:00,"5,074"
02/02/2024,29/01/2024,11:59:00,"2,486"
03/02/2024,29/01/2024,6:35:00,"16,935"
04/02/2024,29/01/2024,8:02:00,"6,247"
05/02/2024,05/02/2024,7:11:00,"6,796"
06/02/2024,05/02/2024,7:34:00,"7,658"
07/02/2024,05/02/2024,7:30:00,"7,371"
08/02/2024,05/02/2024,5:39:00,"7,583"
09/02/2024,05/02/2024,2:35:00,"7,870"
10/02/2024,05/02/2024,6:48:00,"1,840"
11/02/2024,05/02/2024,15:04:00,123
12/02/2024,12/02/2024,9:01:00,"12,071"
13/02/2024,12/02/2024,5:02:00,"6,126"
14/02/2024,12/02/2024,12:09:00,"5,933"
15/02/2024,12/02/2024,10:02:00,"8,545"
16/02/2024,12/02/2024,12:02:00,"3,264"
17/02/2024,12/02/2024,12:02:00,"7,866"
18/02/2024,12/02/2024,11:23:00,"16,151"
19/02/2024,19/02/2024,2:16:00,"4,953"
20/02/2024,19/02/2024,10:11:00,"4,311"
21/02/2024,19/02/2024,4:49:00,"9,715"
22/02/2024,19/02/2024,7:54:00,"21,012"
23/02/2024,19/02/2024,10:27:00,"3,244"
24/02/2024,19/02/2024,10:13:00,"2,833"
25/02/2024,19/02/2024,6:56:00,902
26/02/2024,26/02/2024,9:22:00,"3,570"
27/02/2024,26/02/2024,2:29:00,"9,750"
28/02/2024,26/02/2024,3:34:00,"9,026"
29/02/2024,26/02/2024,3:36:00,"9,123"
01/03/2024,26/02/2024,4:25:00,"10,815"
02/03/2024,26/02/2024,10:38:00,885
03/03/2024,26/02/2024,8:12:00,947
04/03/2024,04/03/2024,8:57:00,"6,820"
05/03/2024,04/03/2024,10:20:00,"7,114"
06/03/2024,04/03/2024,8:30:00,"10,507"
07/03/2024,04/03/2024,3:48:00,"12,287"
08/03/2024,04/03/2024,5:51:00,"9,526"
09/03/2024,04/03/2024,3:51:00,"17,542"
10/03/2024,04/03/2024,7:59:00,"7,864"
11/03/2024,11/03/2024,4:19:00,"8,105"
12/03/2024,11/03/2024,3:32:00,"7,735"
13/03/2024,11/03/2024,3:24:00,"9,150"
14/03/2024,11/03/2024,7:00:00,"11,541"
15/03/2024,11/03/2024,3:46:00,"9,044"
16/03/2024,11/03/2024,2:27:00,"12,344"
